Guerra y paz, León Tolstoi
1984, George Orwells
Ulises, Joyce
Lolita, Vladimir Nabokov
El sonido y la furia, William Faulkner
El hombre invisible, Ralph Ellison
Al faro, Virginia Woolf
La iliada y la Odisea, Homero
Orgullo y prejuicio, Jane Austen
Divina Comedia, Dante
Cuentos de Canterbury, Geoffrey Chaucer
Los viajes de Gulliver, Jonathan Swift
Middlemarch, George Eliot
Todo se desmorona, Chinua Achebe
El guardián entre el centeno, J. D. Salinger
Lo que el viento se llevó, Margaret Mitchell
Cien años de soledad, Gabriel García Márquez
El gran Gatsby, Scott Fitzgerald
Catch 22, Joseph Heller
Beloved, Toni Morrison
Viñas de Ira, John Steinbeck
Hijos de la medianoche, Salman Rushdie
Un mundo feliz, Aldous Huxley
Mrs. Dalloway, Virginia Woolf
Hijo nativo, Richard Wright
De la democracia en América, Alexis de Tocqueville
El origen de las especies, Charles Darwin
Historia, Heródoto
El contrato social, Jean-Jacques Rousseau
El capital, Kart Marx
El príncipe, Maquiavelo
Las confesiones de San Agustín
Leviathan, Thomas Hobbes
Historia de la guerra del Peloponeso, Tucídides
El señor de los anillos, J. R. R. Tolkien
Winnie-the-Pooh A. A. Milne
Las crónicas de Narnia, C. S. Lewis
Pasaje a la India, E. M. Forster
En el camino, Jack Kerouac
Matar a un ruiseñor, Harper Lee
La Biblia
La naranja mecánica, Anthony Burgués
Luz de agosto, William Faulkner
Las almas de la gente negra, W. E. B. Du Bois
Ancho mar de los Sargazos, Jean Rhys
Madame Bovary, Gustave Flaubert
Paraíso perdido, John Milton
Anna Karenina, Leon Tolstoi
Hamlet, William Shakespeare
El rey Lear, William Shakespeare
Otello, William Shakespeare
Sonetos, William Shakespeare
Hojas de hierba, Walt Whitman
Las aventuras de Huckleberry Finn, Mark Twain
Kim, Rudyard Kipling
Frankenstein, Mary Shelley
La canción de Solomon, Toni Morrison
Alguien voló sobre el nido del cuco, Ken Kesey
Por quien doblan las campanas, Hernest Hemingway
Matadero 5, Kurt Vonnegut
Rebelión en la granja, George Orwell
El señor de las moscas, William Holding
A sangre fría, Truman Capote
El cuaderno dorado, Doris Lessing
En busca del tiempo perdido, Marcel Proust
El sueño eterno, Raymond Chandler
Mientras agonizo, William Faulkner
Fiesta, Ernest Hemingway
Yo, Claudio, Robert Graves
El corazón es un cazador solitario, Carson McCullers
Hijos y amantes, D. H. Lawrence
Todos los hombres del rey, Robert Penn Warren
Ve y dilo en la montaña James Baldwin
La Telaraña de Charlotte, E. B. White
El corazón de las tinieblas, Joseph Conrad
Noche, Elie Wiesel
Conejo, corre J. Updike
La edad de la inocencia, Edith Wharton
El mal de Portnoy, P. Roth
Una tragedia americana, Theodore Dreiser
El día de la langosta, Nathanael West
Trópico de cáncer, Henry Miller
El halcón maltés, Dashiell Ahmet
La Materia oscura, Philip Pullman
La Muerte del Arzobispo, Willa Cather
La interpretación de los sueños, S. Freud
La educación de Henry Adams, Henry Adams
Pensamiento de Mao Zedong, Mao Zedong
Psicología de la religión, William James
Retorno a Brideshead, Evelyn Waugh
Primavera silenciosa, Rachel Carson
Teoría general de la ocupación, el interés y el dinero, John Maynard Keynes
Lord Jim, Joseph Conrad
Adiós a todo eso, Robert Graves
La sociedad opulenta, John Kenneth Galbraith
El viento en los sauces, Kenneth Grahame
La autobiografía de Malcom X, Alex Haley y Malcolm X
Los victorianos eminentes, Lytton Strachey
El color púrpura, Alice Walter
La segunda Guerra Mundial, Winston Churchill
